,0
533,998
534,1096
535,1002
536,1061
537,1074
538,1113
539,829
540,967
541,1054
542,1133
543,982
544,937
545,1098
546,1162
547,1058
548,1026
549,965
550,1070
551,808
552,1007
553,983
554,1112
555,988
556,1054
557,771
558,1068
559,1135
560,895
561,864
562,1140
563,1011
564,908
565,1173
566,1136
567,970
568,1043
569,1114
570,1018
571,909
572,990
573,1066
574,980
575,978
576,1103
577,999
578,1089
579,1097
580,962
581,984
582,871
583,1153
584,1053
585,895
586,1010
587,1063
588,995
589,919
590,1174
591,1014
592,1023
593,884
594,1049
595,912
596,1024
597,1034
598,866
599,943
600,1055
601,951
602,983
603,1030
604,911
605,1066
606,1160
607,964
608,1029
609,1111
610,865
611,896
612,886
613,913
614,1213
615,1062
616,875
617,987
618,1015
619,986
620,926
621,1117
622,889
623,1005
624,959
625,937
626,1069
627,1029
628,929
629,853
630,1113
631,1074
632,846
633,1002
634,1076
635,842
636,1065
637,1112
638,887
639,1086
640,1111
641,910
642,868
643,889
644,1076
645,907
646,1024
647,1101
648,915
649,935
650,1024
651,963
652,1029
653,1063
654,919
655,934
656,1035
657,950
658,1108
659,992
660,839
661,1030
662,953
663,1012
664,1183
665,976
666,1030
667,1002
668,1023
669,1090
670,874
671,951
672,975
673,1193
674,1075
675,1068
676,1000
677,1223
678,892
679,918
680,1090
681,1017
682,1007
683,1135
684,912
685,1042
686,1066
687,928
688,1055
689,910
690,890
691,996
692,1051
693,1028
694,791
695,1072
696,1013
697,1032
698,923
699,1003
700,830
701,1114
702,1188
703,850
704,921
705,965
706,1131
707,947
708,979
709,910
710,979
711,914
712,1040
713,948
714,1075
715,987
716,1130
717,1022
718,998
719,1094
720,1030
721,1151
722,860
723,981
724,904
725,952
726,1053
727,899
728,790
729,1078
730,1003
731,930
732,1034
733,1323
734,982
735,1007
736,1062
737,954
738,1045
739,903
740,1056
741,985
742,989
743,859
744,1004
745,1059
746,892
747,1063
748,928
749,995
750,1015
751,967
752,999
753,998
754,1006
755,866
756,1060
757,953
758,959
759,981
760,1062
761,1015
762,856
763,1070
764,877
765,992
766,998
767,1024
768,1087
769,1001
770,918
771,1050
772,786
773,1070
774,902
775,1096
776,1157
777,872
778,957
779,1014
780,1078
781,983
782,961
783,1133
784,1100
785,1086
786,836
787,944
788,964
789,1157
790,1053
791,897
792,925
793,1005
794,975
795,804
796,1009
797,1155
798,995
799,926
800,1063
801,1035
802,1013
803,1189
804,969
805,951
806,1165
807,1001
808,982
809,1013
810,905
811,935
812,958
813,1286
814,1064
815,1000
816,1138
817,925
818,1023
819,889
820,1011
821,916
822,1142
823,943
824,1049
825,1022
826,1004
827,1047
828,1043
829,935
830,938
831,793
832,1093
833,1188
834,963
835,1022
836,960
837,1066
838,1113
839,903
840,1127
841,927
842,954
843,1087
844,1039
845,987
846,943
847,1165
848,1045
849,855
850,1029
851,1003
852,801
853,922
854,1114
855,1011
856,1131
857,960
858,1043
859,908
860,946
861,1085
862,977
863,1047
864,1126
865,930
866,918
867,873
868,913
869,1150
870,1260
871,962
872,1029
873,987
874,1140
875,1108
876,1085
877,1137
878,923
879,1012
880,880
881,1020
882,940
883,970
884,1014
885,963
886,1056
887,988
888,906
889,1002
890,1060
891,926
892,919
893,1017
894,1003
895,892
896,948
897,985
898,944
899,1107
900,852
901,867
902,1100
903,1002
904,1055
905,1053
906,882
907,887
908,978
909,1051
910,975
911,914
912,1090
913,895
914,894
915,972
916,1011
917,926
918,978
919,1026
920,976
921,823
922,1106
923,1007
924,974
925,1074
926,977
927,944
928,941
929,1083
930,928
931,1141
932,863
933,946
934,1136
935,1141
936,1137
937,1009
938,1056
939,1001
940,1076
941,984
942,1051
943,893
944,1149
945,930
946,957
947,971
948,985
949,1028
950,1065
951,1049
952,963
953,937
954,1083
955,918
956,1020
957,911
958,945
959,1041
960,1077
961,900
962,1103
963,1053
964,1033
965,994
966,1245
967,1036
968,1086
969,1111
970,936
971,1078
972,1113
973,1267
974,1105
975,1059
976,986
977,959
978,988
979,861
980,967
981,834
982,934
983,988
984,946
985,1148
986,920
987,898
988,1070
989,965
990,936
991,939
992,974
993,752
994,947
995,917
996,1004
997,917
998,909
999,1017
